WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_003f0102030405000000ffff_phase,ant1_003f0102030405000000ffff_rssi,ant1_00400102030405000000ffff_phase,ant1_00400102030405000000ffff_rssi,ant1_00410102030405000000ffff_phase,ant1_00410102030405000000ffff_rssi,ant1_00420102030405000000ffff_phase,ant1_00420102030405000000ffff_rssi,ant1_00430102030405000000ffff_phase,ant1_00430102030405000000ffff_rssi,ant1_00440102030405000000ffff_phase,ant1_00440102030405000000ffff_rssi,ant1_00450102030405000000ffff_phase,ant1_00450102030405000000ffff_rssi,ant1_00460102030405000000ffff_phase,ant1_00460102030405000000ffff_rssi,ant4_003f0102030405000000ffff_phase,ant4_003f0102030405000000ffff_rssi,ant4_00400102030405000000ffff_phase,ant4_00400102030405000000ffff_rssi,ant4_00410102030405000000ffff_phase,ant4_00410102030405000000ffff_rssi,ant4_00420102030405000000ffff_phase,ant4_00420102030405000000ffff_rssi,ant4_00430102030405000000ffff_phase,ant4_00430102030405000000ffff_rssi,ant4_00440102030405000000ffff_phase,ant4_00440102030405000000ffff_rssi,ant4_00450102030405000000ffff_phase,ant4_00450102030405000000ffff_rssi,ant4_00460102030405000000ffff_phase,ant4_00460102030405000000ffff_rssi,interaction_id,timestamp
0.33999781721562755,-3.104363302059874,0.4430777253945076,-0.11157619493073628,0.15975164188637603,0.9216893923810684,,,3274,65,3,64,1035,68,4052,62,782,59,626,68,2604,65,,,,,866,63,3958,64,,,696,68,3649,67,2793,61,-1,1776476644.9062295
0.2628496013369834,-3.1241613812617883,0.5943184680514607,-0.07194744530486359,0.15817145397051077,0.8968823246253544,,,3539,66,3945,65,3121,68,3775,62,695,62,561,70,511,66,,,,,3252,65,,,77,65,684,68,3644,66,2981,62,-1,1776476645.8385098
0.17452744088992236,-3.010682711690164,0.39939456503508886,-0.04056823176072353,0.15821620831003494,0.8937678226964352,,,,,3782,66,3256,68,3395,63,514,63,488,69,2605,66,,,,,3508,62,,,42,68,2715,68,3674,65,2960,59,-1,1776476646.7665691
-0.014173869694305346,3.439097795700031,-0.1655903225311074,0.006715827890336956,0.1551029854653106,0.8898623988040756,,,,,3752,65,3282,68,1269,62,386,65,501,69,602,66,,,,,,,,,127,67,2661,67,3745,66,966,62,-1,1776476647.691787
0.017749104707985908,2.9269081206222345,-0.5687880991866213,0.036979825290134063,0.15327753280674983,0.8818505008451514,454,62,,,3800,67,3255,69,3235,64,227,64,605,68,2696,67,,,1178,64,,,,,214,65,606,65,3740,64,1028,62,-1,1776476648.4568887
0.10066265383619652,2.9151009988801464,-0.5546487899325641,0.06634553018117935,0.15305939724203657,0.8915440242739379,490,62,3952,66,3744,69,1178,70,1207,65,4065,64,2826,68,2708,67,,,3422,67,,,,,322,65,695,63,,,,,-1,1776476649.3268948
-0.26485350279290826,-3.252384673016367,0.6053130421926716,0.10810258162009065,0.14896972650061785,0.9035788932434742,2568,60,3763,64,1777,69,3249,69,3194,65,3867,62,3054,68,2753,67,,,3764,66,,,,,,,740,64,3558,66,1159,61,-1,1776476650.1506066
0.3216509900319047,2.7833713450685993,-0.540638331690461,0.15029051200887,0.14451952690212103,0.8985287909702839,2546,65,3659,63,3838,69,1161,68,3268,65,3654,64,3285,70,2790,67,,,4008,64,,,,,,,778,63,3617,67,,,-1,1776476650.9704645
0.3751476110084908,2.608080675841681,-0.5637549566777438,0.20342915646231494,0.14901634753871867,0.923019308596768,,,3379,62,3771,68,3153,67,1293,65,,,3269,71,2802,68,,,4031,65,,,,,,,847,62,3601,68,,,-1,1776476651.806947
-0.6023891074097197,-2.2932821779203083,0.040296154410255317,0.24264413490935316,0.1541115827498423,0.9258727803885574,,,3297,65,3742,67,2941,65,1334,65,,,1136,71,756,68,,,4028,64,3030,65,,,3749,63,,,1506,69,2644,62,-1,1776476652.5251977
-0.6023891074097197,-2.2932821779203083,0.040296154410255317,,,,,,3424,65,3705,67,738,65,3374,65,178,58,3112,70,2785,68,,,,,,,,,3787,63,,,3560,69,2634,63,-1,1776476653.3513901
-0.6023891074097197,-2.2932821779203083,0.040296154410255317,,,,,,3381,64,3667,67,680,65,3426,65,212,59,3078,71,2759,68,1694,61,3658,62,3234,63,,,3803,65,,,3576,69,572,64,-1,1776476654.0715215
-0.6023891074097197,-2.2932821779203083,0.040296154410255317,,,,,,3487,63,3739,69,691,66,1347,67,294,59,874,72,2762,68,,,1256,64,3433,64,56,65,3820,65,,,3672,71,491,63,-1,1776476655.0053506
-0.7496089986617088,-3.395520872756603,0.7702680590175457,0.29792743082462586,0.0801867375040784,0.9240859415428238,,,3545,64,3795,70,673,67,3440,68,,,2833,72,2749,67,,,1153,64,3451,65,26,65,3888,65,,,3697,71,478,65,-1,1776476655.9294646
-0.5388965694848465,-2.9152144559129693,0.5837319011942371,0.2884214700068432,0.07637115580656763,0.9600062772455459,,,3576,64,3768,69,680,67,3446,68,,,798,72,672,66,,,3240,64,3424,64,54,67,3852,66,,,3705,72,475,63,-1,1776476656.7522237
-0.5662627303229019,-2.7547389162228995,0.4302720409103849,0.2840412011986787,0.07919772598505882,0.9612489002650944,,,3614,64,3798,70,697,68,3470,68,592,59,762,72,650,66,,,1118,66,,,153,68,4076,66,,,3806,71,2571,65,-1,1776476657.6283166
-0.5307868233559785,-2.6946061433227735,0.545394185299936,0.28073372209500286,0.06682433662774448,0.9643141702715075,,,3570,64,3933,71,793,68,3538,70,684,61,700,71,502,66,,,1130,67,,,182,69,,,,,3819,72,,,-1,1776476658.5598419
-0.7046925700733088,-2.7579861134063615,-0.3657170271694394,0.2780787451850359,0.037020753626848445,0.9821159559874777,,,3590,64,4029,71,902,69,1553,70,2824,64,634,72,425,67,,,3349,68,,,255,70,2315,66,,,3850,71,2518,65,-1,1776476659.2719972
0.781389441486036,3.123736333404711,-0.6453168221876421,0.2796923581231733,0.014528704322958911,1.010198496248996,,,3637,62,2203,71,3060,69,3733,69,1049,65,636,71,2447,68,,,3522,69,,,315,70,2483,65,,,3918,71,2550,64,-1,1776476660.1929512
-0.760026474909961,-2.8816542521954354,0.6429145546702483,0.2678704618813635,-0.015898601709014082,1.0129600398213172,,,3687,63,208,70,3053,69,3778,69,,,722,72,2492,69,,,1645,69,,,392,70,2523,63,,,3969,71,2556,64,-1,1776476661.1155372
0.8408424642155343,3.121614395476078,-0.8216038233458607,0.24866735458331696,-0.04206495089065404,1.0004454847889517,,,3716,63,319,69,952,69,1730,67,196,70,806,72,2555,69,,,3860,70,,,485,70,645,63,,,3985,70,536,64,-1,1776476662.040781
0.9697088723810029,3.0258356691597967,-0.7236670628127391,0.24172749060751922,-0.06920882594076451,1.0186118453130608,,,3505,58,380,68,3064,70,3608,66,,,884,72,2570,69,,,3977,68,,,559,70,661,61,,,4041,70,,,-1,1776476662.9153962
-0.9086601563292851,-2.7881693742387488,0.6243613060186152,0.22671297766564888,-0.10640272532857349,1.030248515810184,,,,,328,66,3142,68,3525,67,3789,65,887,71,2642,69,,,3975,69,,,546,68,663,62,,,4022,70,526,64,-1,1776476663.735455
1.0407028414422828,2.963812657572183,-0.6730698409689602,0.21235676452723512,-0.13561911546513034,1.0340920378071226,273,62,3249,63,,,3237,70,1446,66,3675,67,2892,71,604,70,,,3989,69,,,518,68,611,61,,,4028,69,2624,63,-1,1776476664.6087964
-1.0750982859356761,-2.8183136495868264,0.6895525360903378,0.19778431026298002,-0.15389971749957268,1.033530762463056,376,63,3247,64,246,65,3275,69,3492,66,3563,66,802,72,2661,70,,,3925,68,,,362,67,511,66,,,4030,69,2469,62,-1,1776476665.4831479
-1.1038896286011546,-2.7771986396743693,0.716390632909563,0.18405033924395311,-0.1612995401311225,1.045737843823709,,,1226,62,337,67,3097,70,3484,66,3634,63,2877,72,574,69,,,3823,68,,,200,66,378,66,,,3943,70,2597,62,-1,1776476666.5171344
1.046001980090758,2.9623264026368044,-0.8411921856204339,0.16610819468984636,-0.13770622034079374,1.0267337392026363,,,3458,62,290,69,859,70,1510,67,44,63,834,73,2536,69,,,3569,68,3914,65,4060,65,86,67,,,3717,72,2623,62,-1,1776476667.3915887
-0.8837619860097057,-2.754020796321859,0.8012642765301385,0.17518647220267305,-0.10179496042164649,1.050726144899734,,,3495,64,119,71,2938,69,3557,69,3469,62,704,72,387,69,,,3419,66,3740,65,3856,63,4093,67,,,3497,71,,,-1,1776476668.3724828
-0.7912151690660981,-2.74080937052795,0.85182897755516,0.1660539278994692,-0.0570145920080549,0.9944067201147797,,,1298,65,3981,71,3228,65,1280,70,999,65,630,70,2348,69,,,3476,64,3357,66,1281,69,4055,66,,,3333,68,,,-1,1776476669.3485928
-0.6624341143689588,-2.741940172757501,0.8710044165957591,0.16570192203594133,-0.013011003189338424,0.983275529054825,,,,,1814,71,1726,60,1107,69,2883,64,2797,68,304,68,,,3720,66,850,64,,,3963,65,947,63,3544,65,,,-1,1776476670.3277915
0.6546611830007775,3.1059354803059476,-0.847753145141446,0.1595421405521901,0.02416149151552848,0.9592394875290516,,,,,3778,70,1076,67,3051,67,540,63,,,372,67,,,3675,65,2669,61,,,3848,61,649,65,,,,,-1,1776476671.2531562
-0.5551481533124587,-2.7203510921986225,0.0778641359151525,0.13922570630216405,0.0676404928684234,0.9259773938362176,,,,,3761,70,863,68,986,66,410,62,,,2446,67,,,3639,65,2636,61,,,,,603,65,,,,,-1,1776476672.0881135
