ARM_rx,ARM_ry,ARM_rz,ARM_x,ARM_y,ARM_z,HAND_rx,HAND_ry,HAND_rz,HAND_x,HAND_y,HAND_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,timestamp
-0.4952148904287711,-3.1548888668500465,0.5968025976385368,-0.08777827412758264,-0.034493931004614044,1.1374859338236727,-0.3114269067886455,-2.835659518172774,0.6885802019252488,-0.05300940729851677,0.054702303593131524,1.0191243031390296,604,70,4088,66,3856,75,3039,65,,,,,253,69,,,1778567623.82905
-0.4966190211485386,-3.138505982501068,0.4215111596137266,-0.0727862970248599,-0.01164082475552572,1.1155176745779007,-0.27393892841832523,-2.875399527184733,0.6941823434037149,-0.04133239889743762,0.07867166808638422,1.0204327880797301,628,69,13,66,1804,76,3032,63,,,503,61,281,70,3599,60,1778567624.2881892
-0.48875867385408706,-3.0913533297203966,0.5032705001071798,-0.056103155197040525,0.005474404727913629,1.0829590936869882,-0.288321431516767,-2.817247850745615,0.6144949408693744,-0.02518488464629402,0.09331467757512583,0.988800559436973,858,69,4059,64,3890,75,2995,60,,,726,63,250,69,,,1778567624.902308
-0.48610660666608146,-3.0352105572998167,0.3096133558784373,-0.04091553103428824,0.016302936380145933,1.1014962226808827,-0.2876301723306804,-2.834679530586806,0.5293739043442955,-0.010359865378596943,0.10670946858874875,1.0005797245413999,896,66,3993,65,3927,73,889,62,,,1143,63,146,66,,,1778567625.4056728
-0.5583732140905091,-3.069043934347686,0.5142775190311589,-0.028365082804122366,0.003915490064571678,1.1072169208288534,-0.39188470442177886,-2.8514523635836535,0.6689919959838835,0.0068272617303850765,0.09292302259908679,0.9999785194364288,853,66,4058,67,4021,71,915,59,,,3513,62,,,,,1778567625.9613364
0.6243041012368364,2.9438501426742074,-0.38891417720103827,-0.016416798271916364,-0.018070892758939174,1.1203148143694586,-0.4345060323489252,-2.930042701179054,0.6532425950227407,0.023557853895077807,0.07110022626696007,1.0458741940968233,807,67,22,66,98,67,,,2388,63,3563,61,,,,,1778567626.463141
0.6929291330701611,2.901908189063485,-0.44969855923609653,-0.006964297881138829,-0.04187862389574389,1.1425757025682668,0.5515083000262657,3.084227636460144,-0.8925749935591472,0.03645143339022135,0.04391533012641799,1.0273760053189624,994,65,121,67,160,64,,,,,,,,,,,1778567626.9182925
0.754526388576737,2.871345743249687,-0.5982738176535821,0.0014284122834172044,-0.05956843121151271,1.1354324444715507,-0.5857895424161741,-2.9440267940131144,0.6964397449359413,0.0493730175513534,0.02461934791094026,1.0704833557746398,3175,66,178,68,,,,,3842,60,,,,,,,1778567627.221291
-0.8671000407791861,-3.111270654191034,0.6159732967927873,0.002812269695340413,-0.06646618780009504,1.1460592133577479,0.6239542340497208,3.046282855506099,-0.8543609982859682,0.05290469664290206,0.017257324612533462,1.065821965006585,3344,67,240,67,,,3820,62,3805,62,,,,,,,1778567627.5663438
-0.9206242760102803,-3.141857052819481,0.5958680281087622,0.003951959163590734,-0.07982547382044358,1.1759143157802214,-0.7219633845532922,-2.953838062745344,0.8254800834686287,0.05798563373186668,0.002513657316832124,1.072396864594966,1338,68,2343,66,2521,64,3967,63,3753,64,,,907,63,2474,60,1778567628.0148344
-1.070334778594457,-3.2094450142201585,0.6364979227000417,0.006453682032913554,-0.09622468144485696,1.1800007018693746,-0.7973001238510833,-2.941759451380704,0.8561806376465708,0.06698528694735258,-0.017307448438349905,1.0907632422569415,3360,66,312,66,4077,69,4007,64,1825,65,,,545,67,,,1778567628.5755959
1.0241899124068232,2.5650606925731863,-0.5138573772251022,0.01196223730984809,-0.11753592702690761,1.2093531258058818,-0.9537492532807926,-2.9672071250782803,0.8539808621485142,0.07922434179009398,-0.042305842214884884,1.1186927439702585,1325,66,441,66,4022,69,3985,66,3890,64,2853,62,612,68,436,61,1778567629.129241
1.0559477480902795,2.439484117365126,-0.5723103868857221,0.018127090483303455,-0.12799206754330478,1.192557776426455,0.960180554071166,2.735677460050796,-0.8751592066719063,0.08945041980073382,-0.05876862452298689,1.1276079208330825,1341,67,309,66,4081,71,128,67,1706,64,996,63,1118,67,,,1778567629.7335627
1.1643539758311907,2.362691236600847,-0.6115680534047618,0.03381809575479234,-0.14442508480652547,1.203319639486647,1.1228644316359802,2.6449339592727044,-0.8776298676004692,0.11039062749276832,-0.08190890594716146,1.135348085991484,1296,68,387,65,77,71,179,67,3619,63,1013,64,3563,65,225,61,1778567630.2892025
1.2226178183822258,2.274692592542555,-0.6412152373141852,0.04747966770645293,-0.15518064817021587,1.200829182900412,1.1914561748216588,2.511634027695245,-0.8376206820728896,0.1292128811398,-0.098516559942928,1.145515431154228,3290,68,301,65,114,70,326,64,1556,63,2958,64,3809,65,212,64,1778567630.8988125
1.3122487650312489,2.179509328784377,-0.643299132176024,0.0656551171912682,-0.16852000159921582,1.2052125702262741,1.2984897388584176,2.4733804297549993,-0.8349736577519901,0.15165085578433396,-0.11898686724029285,1.1558932737048513,3427,69,150,65,163,69,235,66,1607,66,855,64,3735,63,214,65,1778567631.5532563
-1.9120309712109247,-3.0230808641822837,0.875387138751109,0.07824620227288344,-0.17905857893825072,1.2256170562435922,-1.584570245571794,-2.8317414004431427,0.9572999695011912,0.1663047877629016,-0.13079088488427443,1.1641072965919539,3304,69,2240,66,219,69,2323,66,1625,64,2953,63,1554,64,210,65,1778567632.15847
1.3689506571005137,2.1710923794016623,-0.5654191027909434,0.1028632615058672,-0.17208226340074237,1.2190438503015595,1.4000720235035269,2.4211337301558773,-0.8190825497409286,0.18455627663748736,-0.12244416345615096,1.1354757204149137,3232,70,89,66,226,71,271,66,1596,61,1029,62,3257,64,119,64,1778567632.817148
1.3273458014742352,2.274774308652786,-0.5023084967675622,0.12031632178150009,-0.14985187411163162,1.19593240306969,-1.3097402865062056,-2.152744892196705,-0.5863288768252312,0.2049280039282448,-0.09833221176155482,1.1533452755990554,3093,70,4036,65,182,72,2377,67,1602,61,3047,63,1073,66,2289,64,1778567633.4729526
1.3170004185177966,2.420802431340231,-0.46375344077304215,0.13315861033460127,-0.12813647838056702,1.1966767188673577,-1.2773041336953468,-2.267421220529766,-0.5775981482665743,0.21137299467039358,-0.07032215218854838,1.1353451912949113,,,4065,66,116,72,298,66,3956,61,1027,63,976,66,,,1778567634.1392853
1.229468000484568,2.4728251736071014,-0.4718208627788896,0.13880777034106506,-0.10465214135126746,1.1631860071856652,1.2873514922603824,2.7758312196604757,-0.6967417737799906,0.21658889666321318,-0.043589530233027626,1.1278563623774105,929,69,3988,65,85,73,288,67,3947,63,1154,63,2926,67,278,63,1778567634.6394858
1.2060954107430346,2.5637583262327586,-0.4243946262760361,0.14047729570136028,-0.09521267382439423,1.159569045259972,1.2327989257891678,2.7666120523673245,-0.6683533773326881,0.21370953923223,-0.03280008607874389,1.1087837027429635,844,67,4024,66,4079,74,313,68,3992,64,,,722,68,364,60,1778567635.3052614
1.156527683958776,2.6336589884694916,-0.3720956861557223,0.14758848463346488,-0.07929706422869207,1.1450025441684963,-1.1440135503699373,-2.7674533156799557,0.672843298089762,0.220596917496151,-0.012933867871055663,1.1130790720825432,752,67,4021,65,3986,74,288,67,4005,66,3288,64,584,68,445,62,1778567635.9153576
1.1308329526470957,2.689183374992844,-0.3722439822843966,0.15116333225299908,-0.06457086953856353,1.1331679020571654,-1.0389763530279492,-2.8057999063469055,0.6713042716283474,0.21904810903326594,0.003701365317937668,1.0930398970315893,2750,65,17,65,3884,73,285,67,3965,67,1174,63,490,67,592,61,1778567636.529919
1.078903538122266,2.7180900010743563,-0.37727453870772665,0.1541802430997584,-0.046804345845537575,1.1129846149491023,-0.9563678670316633,-2.7734373712649996,0.7171682156044589,0.217038503705287,0.02405866911173599,1.0665018294281066,716,63,107,64,3787,73,2296,68,3979,68,3194,64,445,66,650,61,1778567637.1472955
-0.9320162762556814,-2.527399407627942,-0.21717507481660744,0.16008766180660644,-0.03369315306085438,1.1115350639690729,-0.825847720651665,-2.718376653487268,0.7921270804570114,0.2150387691949816,0.03995473171929102,1.045540073022603,790,61,229,66,3703,72,212,68,3885,69,3107,64,298,65,678,60,1778567637.7549553
0.8849888452969419,2.9076448051909125,-0.29032327625434784,0.1654497830225525,-0.015590356360387464,1.1077316544477895,0.7950632153350599,3.22285636064618,-0.6701915034073569,0.21517124472793403,0.0668524436223174,1.054093912805563,1039,61,2352,67,3772,71,221,67,3778,70,1011,62,,,,,1778567638.4230173
